id,type,size,,bp,bt,rbp,fh,drw,,,,
80,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.575,,,,inconel:1_ inconel:0.42_ptfe:0.5,flat_6_0.4,reverse_1_15
81,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.5,,,,s316L:0.6_s316L:0.2_s316L:0.1_ptfe:0.5,flat_6_0.4,reverse_1.5_15
82,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.34,,,,s316L:1_s316L:0.6_ptfe:0.5,flat_6_0.4,reverse_1.5_4
83,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.38,,,,s316:0.1_inconel:0.45_fep:0.1,flat_6_0.4,reverse_2_5.9
84,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.52,,,,s316:1.5_inconel:0.42_ptfe:0.5,flat_6_0.4,reverse_2_27.7
85,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.55,,,,s316:0.1_s316:1_fep:.1,flat_6_0.4,reverse_2_3.38
86,flat,6,s316:0.2_s316:0.2_ptfe:0.1,0.4,100,0.55,,,,s316:0.1_s316:1_fep:0.1,flat_6_0.4,reverse_2_3.18
87,flat,16,s316:1_s316:1_ptfe:0.5,2,160,1.83,,,,s316:0.05_s316:0.05_fep:0.1,flat_16_2,reverse_2_19
88,flat,16,s316:1_s316:1_ptfe:0.5,2,160,1.91,,,,s316:0.1_s316L:0.1_tef:0.1,flat_16_2,reverse_2_13.5
89,flat,10,s316:0.6_s316:0.6_ptfe:0.5,2,160,2.08,,,,s316:0.1_s316:0.1_tef:0.3,flat_10_2,reverse_2_7.5
90,flat,16,s316:1.5_s316:0.5_ptfe:0.5,6,40,5.97,,,,s316L:0.5_s316L:0.1_tef:0.5,flat_16_6,reverse_2_20
91,flat,16,s316:1.5_s316:0.5_ptfe:0.5,6,40,5.16,,,,s316L:0.3_s316L:0.1_tef:0.5,flat_16_6,reverse_2_6
92,flat,16,s316:1.5_s316:0.5_ptfe:0.5,6,40,8.93,,,,s316:0.2_s316:0.05_s316L:0.1_ptfe:0.5,flat_16_6,reverse_2_9.5
93,flat,24,s316:3_s316:1_ptfe:0.5,6,40,6.05,,,,s316:0.2_s316:0.05_s316L:0.1_ptfe:0.4,flat_24_6,reverse_2_12.5
94,flat,24,s316:3_s316:1_ptfe:0.5,6,40,6.04,,,,s316:1_s316:0.4_ptfe:0.5,flat_24_6,reverse_3_12
95,flat,24,s316:3_s316:1_ptfe:0.5,6,40,5.24,,,,s316:1_s316:0.4_ptfe:0.4,flat_24_6,reverse_3_13.5
96,flat,8,s316:0.5_s316:0.5_ptfe:0.3,2,22,2.15,,,,s316:0.5_ aluminum :0.2_ aluminum:0.2_s316:0.5,flat_8_2,reverse_3_7.5
97,flat,8,s316:0.5_s316:0.5_ptfe:0.3,2,22,2.45,,,,s316:0.1_s316L:0.1_ptfe:0.1,flat_8_2,reverse_3_1
98,flat,8,s316:0.5_s316:0.5_ptfe:0.3,2,22,2.19,,,,s316:0.2_s316:0.1_ptfe:0.2,flat_8_2,reverse_3_13
99,flat,3,s316:0.6_inconel:0.42_ptfe:0.25,7.5,48,7.21,,,,s316:0.1_s316:0.2_ptfe:0.1,flat_3_7.5,reverse_3_3
100,flat,3,s316:0.6_inconel:0.42_ptfe:0.25,7.5,48,6.5,,,,s316:0.4_inconel:0.42_ptfe:0.3,flat_3_7.5,reverse_3_6
101,flat,3,s316:0.6_inconel:0.42_ptfe:0.25,7.5,48,12,,,,s316:0.5_s316:0.5_fep:0.15,flat_3_7.5,reverse_3_7
102,flat,6,s316:1_inconel:0.8_ptfe:0.3,7.5,70,6.52,,,,s316:1.5_s316:1_ptfe:0.5,flat_6_7.5,reverse_3_40
103,flat,6,s316:1_inconel:0.8_ptfe:0.3,7.5,70,5.61,,,,s316:0.5_s316:0.3_tef:0.5,flat_6_7.5,reverse_3_42
104,flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,8.1,,,,s316:1.5_s316:0.1_tef:0.5,flat_1_5,reverse_4_10
105,flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,4.66,,,,s316:0.5_s316:0.4_tef:0.3,flat_1_5,reverse_4_5.5
106,flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,5.47,,,,s316:0.3_s316:0.3_tef:0.1,flat_1_5,reverse_4_7.9
107,flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,5.08,,,,s316:1_s316:1.5_tef:0.4,flat_1_5,reverse_4_8
108,flat,1,s316:0.1_s316:0.1_ptfe:0.1,5,22,4.97,,,,s316:0.5_s316:0.5_ptfe:0.4,flat_1_5,reverse_4_30.5
109,flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,1,75,0.8,,,,s316:0.3_s316:0.3_ aluminum :0.1_tef:0.1,flat_36_1,reverse_4_11
110,flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35,6.3,,,,s316:0.5_s316:0.5_tef:0.1,flat_36_0.715,reverse_4_7
111,flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35,6.65,,,,s316:0.5_s316:0.2_ aluminum :0.2_s316:0.5_tef:0.5,flat_36_0.715,reverse_4_0.17
112,flat,36,s316:1_s316:1_tef:0.5_tef:0.5_s316:3,0.715,35,7.01,,,,monel :0.4_s316:0.05_ptfe:0.1,flat_36_0.715,reverse_4_9
